rank,player,club,nationality,points,year,percent,position
1.0,Stanley Matthews,Blackpool,England,47.0,1956,19.5833,
2.0,Alfredo Di Stéfano,Real Madrid,Spain,44.0,1956,18.3333,
3.0,Raymond Kopa,Reims~~~Real Madrid,France,33.0,1956,13.75,
4.0,Ferenc Puskás,Budapest Honvéd,Hungary,32.0,1956,13.3333,
5.0,Lev Yashin,Dynamo Moscow,Soviet Union,19.0,1956,7.9167,
6.0,József Bozsik,Budapest Honvéd,Hungary,15.0,1956,6.25,
7.0,Ernst Ocwirk,Austria Wien~~~Sampdoria,Austria,9.0,1956,3.75,
8.0,Sándor Kocsis,Budapest Honvéd,Hungary,6.0,1956,2.5,
9.0,Thadée Cisowski,RC Paris,France,4.0,1956,1.6667,
9.0,Ivan Kolev,CDNA Sofia,Bulgaria,4.0,1956,1.6667,
9.0,Billy Wright,Wolverhampton Wanderers,England,4.0,1956,1.6667,
12.0,Júlio Botelho,Fiorentina,Italy,3.0,1956,1.25,
13.0,Stefan Bozhkov,CDNA Sofia,Bulgaria,2.0,1956,0.8333,
13.0,Duncan Edwards,Manchester United,England,2.0,1956,0.8333,
13.0,Gerhard Hanappi,Rapid Wien,Austria,2.0,1956,0.8333,
13.0,Robert Jonquet,Reims,France,2.0,1956,0.8333,
13.0,Miguel Montuori,Fiorentina,Italy,2.0,1956,0.8333,
13.0,Pepillo,Sevilla,Spain,2.0,1956,0.8333,
13.0,Juan Alberto Schiaffino,Milan,Italy,2.0,1956,0.8333,
13.0,Eduard Streltsov,Torpedo Moscow,Soviet Union,2.0,1956,0.8333,
21.0,Marcelino Campanal,Sevilla,Spain,1.0,1956,0.4167,
21.0,Břetislav Dolejší,Dukla Prague,Czechoslovakia,1.0,1956,0.4167,
21.0,Roger Piantoni,FC Nancy,France,1.0,1956,0.4167,
21.0,Kees Rijvers,Saint-Étienne,Netherlands,1.0,1956,0.4167,
1.0,Alfredo Di Stéfano,Real Madrid,Spain,72.0,1957,29.8755,
2.0,Billy Wright,Wolverhampton Wanderers,England,19.0,1957,7.8838,
3.0,Duncan Edwards,Manchester United,England,16.0,1957,6.639,
3.0,Raymond Kopa,Real Madrid,France,16.0,1957,6.639,
5.0,László Kubala,Barcelona,Hungary,15.0,1957,6.2241,
6.0,John Charles,Leeds United~~~Juventus,Wales,14.0,1957,5.8091,
7.0,Eduard Streltsov,Torpedo Moscow,Soviet Union,12.0,1957,4.9793,
8.0,Tommy Taylor,Manchester United,England,10.0,1957,4.1494,
9.0,József Bozsik,Budapest Honvéd,Hungary,9.0,1957,3.7344,
9.0,Igor Netto,Spartak Moscow,Soviet Union,9.0,1957,3.7344,
11.0,Lev Yashin,Dynamo Moscow,Soviet Union,8.0,1957,3.3195,
12.0,Paco Gento,Real Madrid,Spain,7.0,1957,2.9046,
12.0,Gyula Grosics,Budapest Honvéd~~~Tatabánya,Hungary,7.0,1957,2.9046,
14.0,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,4.0,1957,1.6598,
14.0,Miloš Milutinović,Partizan,Yugoslavia,4.0,1957,1.6598,
14.0,Juan Alberto Schiaffino,Milan,Italy,4.0,1957,1.6598,
17.0,Gerhard Hanappi,Rapid Wien,Austria,3.0,1957,1.2448,
17.0,Johnny Haynes,Fulham,England,3.0,1957,1.2448,
17.0,Stanley Matthews,Blackpool,England,3.0,1957,1.2448,
20.0,Sándor Kocsis,Young Fellows Zürich,Hungary,2.0,1957,0.8299,
20.0,Horst Szymaniak,Wuppertaler SV,West Germany,2.0,1957,0.8299,
22.0,Kurt Hamrin,Padova,Sweden,1.0,1957,0.4149,
22.0,Ladislav Novák,Dukla Prague,Czechoslovakia,1.0,1957,0.4149,
1.0,Raymond Kopa,Real Madrid,France,71.0,1958,29.5833,
2.0,Helmut Rahn,Rot-Weiss Essen,West Germany,40.0,1958,16.6667,
3.0,Just Fontaine,Reims,France,23.0,1958,9.5833,
4.0,John Charles,Juventus,Wales,15.0,1958,6.25,
4.0,Kurt Hamrin,Padova~~~Fiorentina,Sweden,15.0,1958,6.25,
6.0,Billy Wright,Wolverhampton Wanderers,England,9.0,1958,3.75,
7.0,Johnny Haynes,Fulham,England,7.0,1958,2.9167,
8.0,Harry Gregg,Manchester United,Northern Ireland,6.0,1958,2.5,
8.0,Nils Liedholm,Milan,Sweden,6.0,1958,2.5,
8.0,Horst Szymaniak,Wuppertaler SV,West Germany,6.0,1958,2.5,
11.0,Colin McDonald,Burnley,England,5.0,1958,2.0833,
12.0,Paco Gento,Real Madrid,Spain,4.0,1958,1.6667,
12.0,Gunnar Gren,Örgryte IS,Sweden,4.0,1958,1.6667,
14.0,Vujadin Boškov,Vojvodina,Yugoslavia,3.0,1958,1.25,
14.0,Bengt Gustavsson,Atalanta,Sweden,3.0,1958,1.25,
14.0,Valentin Ivanov,Torpedo Moskva,Soviet Union,3.0,1958,1.25,
14.0,Luis Suárez,Barcelona,Spain,3.0,1958,1.25,
14.0,Lev Yashin,Dynamo Moscow,Soviet Union,3.0,1958,1.25,
19.0,Orvar Bergmark,Örebro SK,Sweden,2.0,1958,0.8333,
19.0,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,2.0,1958,0.8333,
19.0,Ivan Kolev,CDNA Sofia,Bulgaria,2.0,1958,0.8333,
19.0,Bruno Nicolè,Juventus,Italy,2.0,1958,0.8333,
19.0,Ladislav Novák,Dukla Prague,Czechoslovakia,2.0,1958,0.8333,
19.0,Lennart Skoglund,Internazionale,Sweden,2.0,1958,0.8333,
25.0,Giampiero Boniperti,Juventus,Italy,1.0,1958,0.4167,
25.0,Gerhard Hanappi,Rapid Wien,Austria,1.0,1958,0.4167,
1.0,Alfredo Di Stéfano,Real Madrid,Spain,80.0,1959,26.6667,
2.0,Raymond Kopa,Real Madrid~~~Reims,France,42.0,1959,14.0,
3.0,John Charles,Juventus,Wales,24.0,1959,8.0,
4.0,Luis Suárez,Barcelona,Spain,22.0,1959,7.3333,
5.0,Agne Simonsson,Örgryte IS,Sweden,20.0,1959,6.6667,
6.0,Lajos Tichy,Budapest Honvéd,Hungary,18.0,1959,6.0,
7.0,Ferenc Puskás,Real Madrid,Hungary,16.0,1959,5.3333,
8.0,Francisco Gento,Real Madrid,Spain,12.0,1959,4.0,
9.0,Helmut Rahn,Rot-Weiss Essen~~~1. FC Köln,West Germany,11.0,1959,3.6667,
10.0,Horst Szymaniak,Wuppertaler SV~~~Karlsruher SC,West Germany,8.0,1959,2.6667,
11.0,Lev Yashin,Dynamo Moscow,Soviet Union,7.0,1959,2.3333,
12.0,Yuriy Voynov,Dynamo Kyiv,Soviet Union,5.0,1959,1.6667,
13.0,Dezső Bundzsák,Vasas,Hungary,4.0,1959,1.3333,
13.0,Gyula Grosics,Tatabánya,Hungary,4.0,1959,1.3333,
13.0,Ivan Kolev,CDNA Sofia,Bulgaria,4.0,1959,1.3333,
13.0,Nils Liedholm,Milan,Sweden,4.0,1959,1.3333,
17.0,Titus Buberník,ČH Bratislava,Czechoslovakia,3.0,1959,1.0,
17.0,Just Fontaine,Reims,France,3.0,1959,1.0,
17.0,Georgi Naydenov,CDNA Sofia,Bulgaria,3.0,1959,1.0,
20.0,Flórián Albert,Ferencváros,Hungary,2.0,1959,0.6667,
20.0,Uwe Seeler,Hamburger SV,West Germany,2.0,1959,0.6667,
20.0,Joan Segarra,Barcelona,Spain,2.0,1959,0.6667,
23.0,János Göröcs,Újpest,Hungary,1.0,1959,0.3333,
23.0,Ken Jones,Scunthorpe United,Wales,1.0,1959,0.3333,
23.0,Roger Marche,RC Paris,France,1.0,1959,0.3333,
23.0,Antoni Ramallets,Barcelona,Spain,1.0,1959,0.3333,
1.0,Luis Suárez,Barcelona,Spain,54.0,1960,18.8153,
2.0,Ferenc Puskás,Real Madrid,Hungary,37.0,1960,12.892,
3.0,Uwe Seeler,Hamburger SV,West Germany,33.0,1960,11.4983,
4.0,Alfredo Di Stéfano,Real Madrid,Spain,32.0,1960,11.1498,
5.0,Lev Yashin,Dynamo Moscow,Soviet Union,28.0,1960,9.7561,
6.0,Raymond Kopa,Reims,France,14.0,1960,4.878,
7.0,John Charles,Juventus,Wales,11.0,1960,3.8328,
7.0,Bobby Charlton,Manchester United,England,11.0,1960,3.8328,
9.0,Omar Sívori,Juventus,Italy,9.0,1960,3.1359,
9.0,Horst Szymaniak,Karlsruher SC,West Germany,9.0,1960,3.1359,
11.0,Paco Gento,Real Madrid,Spain,8.0,1960,2.7875,
12.0,Bora Kostić,Red Star Belgrade,Yugoslavia,7.0,1960,2.439,
13.0,Joseph Ujlaki,RC Paris,France,5.0,1960,1.7422,
14.0,Kurt Hamrin,Fiorentina,Sweden,4.0,1960,1.3937,
14.0,Bobby Smith,Tottenham Hotspur,England,4.0,1960,1.3937,
16.0,Luis del Sol,Real Betis~~~Real Madrid,Spain,3.0,1960,1.0453,
16.0,Jimmy Greaves,Chelsea,England,3.0,1960,1.0453,
16.0,Ivan Kolev,CDNA Sofia,Bulgaria,3.0,1960,1.0453,
19.0,János Göröcs,Újpest,Hungary,2.0,1960,0.6969,
19.0,Károly Sándor,MTK Budapest,Hungary,2.0,1960,0.6969,
19.0,Dragoslav Šekularac,Red Star Belgrade,Yugoslavia,2.0,1960,0.6969,
19.0,Agne Simonsson,Örgryte IS~~~Real Madrid,Sweden,2.0,1960,0.6969,
23.0,Antonio Angelillo,Internazionale,Italy,1.0,1960,0.3484,
23.0,Gerhard Hanappi,Rapid Wien,Austria,1.0,1960,0.3484,
23.0,Erich Hof,Wiener SC,Austria,1.0,1960,0.3484,
23.0,Blagoje Vidinić,Radnički Belgrade,Yugoslavia,1.0,1960,0.3484,
1.0,Omar Sívori,Juventus,Italy,46.0,1961,16.0839,
2.0,Luis Suárez,Barcelona~~~Internazionale,Spain,40.0,1961,13.986,
3.0,Johnny Haynes,Fulham,England,22.0,1961,7.6923,
4.0,Lev Yashin,Dynamo Moscow,Soviet Union,21.0,1961,7.3427,
5.0,Ferenc Puskás,Real Madrid,Hungary,16.0,1961,5.5944,
6.0,Alfredo Di Stéfano,Real Madrid,Spain,13.0,1961,4.5455,
6.0,Uwe Seeler,Hamburger SV,West Germany,13.0,1961,4.5455,
8.0,John Charles,Juventus,Wales,10.0,1961,3.4965,
9.0,Paco Gento,Real Madrid,Spain,8.0,1961,2.7972,
10.0,José Águas,Benfica,Portugal,5.0,1961,1.7483,
10.0,Bobby Charlton,Manchester United,England,5.0,1961,1.7483,
10.0,Gyula Grosics,Tatabánya,Hungary,5.0,1961,1.7483,
10.0,Gerhard Hanappi,Rapid Wien,Austria,5.0,1961,1.7483,
10.0,Josef Masopust,Dukla Prague,Czechoslovakia,5.0,1961,1.7483,
10.0,José Santamaría,Real Madrid,Spain,5.0,1961,1.7483,
10.0,Dragoslav Šekularac,Red Star Belgrade,Yugoslavia,5.0,1961,1.7483,
17.0,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,4.0,1961,1.3986,
17.0,Germano,Benfica,Portugal,4.0,1961,1.3986,
17.0,Kurt Hamrin,Fiorentina,Sweden,4.0,1961,1.3986,
17.0,Mikheil Meskhi,Dinamo Tbilisi,Soviet Union,4.0,1961,1.3986,
17.0,Viktor Ponedelnik,SKA Rostov-on-Don,Soviet Union,4.0,1961,1.3986,
17.0,Horst Szymaniak,Karlsruher SC~~~Catania,West Germany,4.0,1961,1.3986,
23.0,José Augusto,Benfica,Portugal,3.0,1961,1.049,
23.0,Denis Law,Manchester City~~~Torino,Scotland,3.0,1961,1.049,
23.0,Slava Metreveli,Torpedo Moscow,Soviet Union,3.0,1961,1.049,
23.0,Max Morlock,1. FC Nürnberg,West Germany,3.0,1961,1.049,
23.0,Horst Nemec,Austria Wien,Austria,3.0,1961,1.049,
28.0,Pierre Bernard,Sedan~~~Nîmes,France,2.0,1961,0.6993,
28.0,Gert Dörfel,Hamburger SV,West Germany,2.0,1961,0.6993,
28.0,Norbert Eschmann,Stade Français,Switzerland,2.0,1961,0.6993,
28.0,Jimmy Greaves,Chelsea~~~Milan~~~Tottenham Hotspur,England,2.0,1961,0.6993,
28.0,Lucien Muller,Reims,France,2.0,1961,0.6993,
28.0,Costa Pereira,Benfica,Portugal,2.0,1961,0.6993,
28.0,Lajos Tichy,Budapest Honvéd,Hungary,2.0,1961,0.6993,
35.0,Charles Antenen,La Chaux-de-Fonds,Switzerland,1.0,1961,0.3497,
35.0,Mário Coluna,Benfica,Portugal,1.0,1961,0.3497,
35.0,Eusébio,Benfica,Portugal,1.0,1961,0.3497,
35.0,Gernot Fraydl,Austria Wien,Austria,1.0,1961,0.3497,
35.0,Karl Koller,First Vienna,Austria,1.0,1961,0.3497,
35.0,Rudolf Kučera,Dukla Prague,Czechoslovakia,1.0,1961,0.3497,
35.0,Dumitru Macri,Rapid București,Romania,1.0,1961,0.3497,
35.0,Jimmy McIlroy,Burnley,Northern Ireland,1.0,1961,0.3497,
35.0,Karl Stotz,Austria Wien,Austria,1.0,1961,0.3497,
1.0,Josef Masopust,Dukla Prague,Czechoslovakia,65.0,1962,22.7273,
2.0,Eusébio,Benfica,Portugal,53.0,1962,18.5315,
3.0,Karl-Heinz Schnellinger,1. FC Köln,West Germany,33.0,1962,11.5385,
4.0,Dragoslav Šekularac,Red Star Belgrade,Yugoslavia,26.0,1962,9.0909,
5.0,Jef Jurion,Anderlecht,Belgium,15.0,1962,5.2448,
6.0,Gianni Rivera,Milan,Italy,14.0,1962,4.8951,
7.0,Jimmy Greaves,Tottenham Hotspur,England,11.0,1962,3.8462,
8.0,John Charles,Juventus~~~Leeds United~~~Roma,Wales,10.0,1962,3.4965,
8.0,Milan Galić,Partizan,Yugoslavia,10.0,1962,3.4965,
10.0,János Göröcs,Újpest,Hungary,6.0,1962,2.0979,
11.0,José Águas,Benfica,Portugal,4.0,1962,1.3986,
11.0,Raymond Kopa,Reims,France,4.0,1962,1.3986,
11.0,Denis Law,Torino~~~Manchester United,Scotland,4.0,1962,1.3986,
11.0,Omar Sívori,Juventus,Argentina,4.0,1962,1.3986,
15.0,Luis del Sol,Real Madrid~~~Juventus,Spain,3.0,1962,1.049,
15.0,Andrej Kvašňák,Sparta Prague,Czechoslovakia,3.0,1962,1.049,
15.0,André Lerond,Stade Français,France,3.0,1962,1.049,
15.0,Luis Suárez,Internazionale,Spain,3.0,1962,1.049,
19.0,Flórián Albert,Ferencváros,Hungary,2.0,1962,0.6993,
19.0,Kurt Hamrin,Fiorentina,Sweden,2.0,1962,0.6993,
19.0,Horst Nemec,Austria Wien,Austria,2.0,1962,0.6993,
19.0,Joaquín Peiró,Atlético Madrid~~~Torino,Spain,2.0,1962,0.6993,
19.0,Viliam Schrojf,Slovan Bratislava,Czechoslovakia,2.0,1962,0.6993,
19.0,Ernő Solymosi,Újpest,Hungary,2.0,1962,0.6993,
25.0,Paco Gento,Real Madrid,Spain,1.0,1962,0.3497,
25.0,Ezio Pascutti,Bologna,Italy,1.0,1962,0.3497,
25.0,Lajos Tichy,Budapest Honvéd,Hungary,1.0,1962,0.3497,
1.0,Lev Yashin,Dynamo Moscow,Soviet Union,73.0,1963,23.1746,
2.0,Gianni Rivera,Milan,Italy,55.0,1963,17.4603,
3.0,Jimmy Greaves,Tottenham Hotspur,England,50.0,1963,15.873,
4.0,Denis Law,Manchester United,Scotland,45.0,1963,14.2857,
5.0,Eusébio,Benfica,Portugal,19.0,1963,6.0317,
6.0,Karl-Heinz Schnellinger,1. FC Köln~~~Mantova,West Germany,16.0,1963,5.0794,
7.0,Uwe Seeler,Hamburger SV,West Germany,9.0,1963,2.8571,
8.0,Bobby Charlton,Manchester United,England,5.0,1963,1.5873,
8.0,Luis Suárez,Inter Milan,Spain,5.0,1963,1.5873,
8.0,Giovanni Trapattoni,Milan,Italy,5.0,1963,1.5873,
11.0,José Altafini,Milan,Brazil,4.0,1963,1.2698,
11.0,Paul Van Himst,Anderlecht,Belgium,4.0,1963,1.2698,
13.0,Flórián Albert,Ferencváros,Hungary,3.0,1963,0.9524,
13.0,Harry Bild,IFK Norrköping,Sweden,3.0,1963,0.9524,
13.0,Josef Masopust,Dukla Prague,Czechoslovakia,3.0,1963,0.9524,
13.0,Omar Sívori,Juventus,Argentina,3.0,1963,0.9524,
17.0,Robert Herbin,Saint-Étienne,France,2.0,1963,0.6349,
17.0,Jef Jurion,Anderlecht,Belgium,2.0,1963,0.6349,
17.0,Cesare Maldini,Milan,Italy,2.0,1963,0.6349,
17.0,Károly Sándor,MTK Budapest,Hungary,2.0,1963,0.6349,
21.0,Mário Coluna,Benfica,Portugal,1.0,1963,0.3175,
21.0,Ake Johansson,IFK Norrköping,Sweden,1.0,1963,0.3175,
21.0,Manfred Kaiser,Wismut Aue,East Germany,1.0,1963,0.3175,
21.0,Metin Oktay,Galatasaray,Turkey,1.0,1963,0.3175,
21.0,Svatopluk Pluskal,Dukla Prague,Czechoslovakia,1.0,1963,0.3175,
1.0,Denis Law,Manchester United,Scotland,61.0,1964,19.3651,
2.0,Luis Suárez,Internazionale,Spain,43.0,1964,13.6508,
3.0,Amancio,Real Madrid,Spain,38.0,1964,12.0635,
4.0,Eusébio,Benfica,Portugal,31.0,1964,9.8413,
5.0,Paul Van Himst,Anderlecht,Belgium,28.0,1964,8.8889,
6.0,Jimmy Greaves,Tottenham Hotspur,England,19.0,1964,6.0317,
7.0,Mario Corso,Internazionale,Italy,17.0,1964,5.3968,
8.0,Lev Yashin,Dynamo Moscow,Soviet Union,15.0,1964,4.7619,
9.0,Gianni Rivera,Milan,Italy,14.0,1964,4.4444,
10.0,Valery Voronin,Torpedo Moscow,Soviet Union,11.0,1964,3.4921,
11.0,Ferenc Bene,Újpest,Hungary,6.0,1964,1.9048,
11.0,Karl-Heinz Schnellinger,Mantova~~~Roma,West Germany,6.0,1964,1.9048,
13.0,Jean Nicolay,Standard Liège,Belgium,5.0,1964,1.5873,
14.0,Helmut Haller,Bologna,West Germany,4.0,1964,1.2698,
15.0,José Torres,Benfica,Portugal,3.0,1964,0.9524,
16.0,Flórián Albert,Ferencváros,Hungary,2.0,1964,0.6349,
16.0,José Altafini,Milan,Italy,2.0,1964,0.6349,
16.0,Coen Moulijn,Feyenoord,Netherlands,2.0,1964,0.6349,
19.0,Néstor Combin,Lyon~~~Juventus,France,1.0,1964,0.3175,
19.0,Giacinto Facchetti,Internazionale,Italy,1.0,1964,0.3175,
19.0,Ole Madsen,HIK,Denmark,1.0,1964,0.3175,
19.0,Sandro Mazzola,Internazionale,Italy,1.0,1964,0.3175,
19.0,Bobby Moore,West Ham United,England,1.0,1964,0.3175,
19.0,Jef Jurion,Anderlecht,Belgium,1.0,1964,0.3175,
19.0,Omar Sívori,Juventus,Italy,1.0,1964,0.3175,
19.0,Klaus Urbanczyk,Chemie Halle,East Germany,1.0,1964,0.3175,
1.0,Eusébio,Benfica,Portugal,67.0,1965,21.2698,
2.0,Giacinto Facchetti,Internazionale,Italy,59.0,1965,18.7302,
3.0,Luis Suárez,Internazionale,Spain,45.0,1965,14.2857,
4.0,Paul Van Himst,Anderlecht,Belgium,25.0,1965,7.9365,
5.0,Bobby Charlton,Manchester United,England,19.0,1965,6.0317,
6.0,Flórián Albert,Ferencváros,Hungary,14.0,1965,4.4444,
7.0,Gianni Rivera,Milan,Italy,10.0,1965,3.1746,
8.0,Georgi Asparuhov,Levski Sofia,Bulgaria,9.0,1965,2.8571,
8.0,Sandro Mazzola,Internazionale,Italy,9.0,1965,2.8571,
8.0,Valery Voronin,Torpedo Moskva,Soviet Union,9.0,1965,2.8571,
11.0,Denis Law,Manchester United,Scotland,8.0,1965,2.5397,
12.0,Karl-Heinz Schnellinger,Roma~~~Milan,West Germany,6.0,1965,1.9048,
13.0,Jim Baxter,Rangers~~~Sunderland,Scotland,5.0,1965,1.5873,
13.0,Ferenc Puskás,Real Madrid,Spain,5.0,1965,1.5873,
15.0,Mario Corso,Internazionale,Italy,3.0,1965,0.9524,
15.0,Lev Yashin,Dynamo Moscow,Soviet Union,3.0,1965,0.9524,
17.0,Amancio,Real Madrid,Spain,2.0,1965,0.6349,
17.0,Franz Beckenbauer,Bayern Munich,West Germany,2.0,1965,0.6349,
17.0,Ferenc Bene,Újpest,Hungary,2.0,1965,0.6349,
17.0,Mário Coluna,Benfica,Portugal,2.0,1965,0.6349,
17.0,Milan Galić,Partizan,Yugoslavia,2.0,1965,0.6349,
17.0,Philippe Gondet,Nantes,France,2.0,1965,0.6349,
17.0,Andrej Kvašňák,Sparta Prague,Czechoslovakia,2.0,1965,0.6349,
17.0,Slava Metreveli,Dinamo Tbilisi,Soviet Union,2.0,1965,0.6349,
25.0,Ivor Allchurch,Cardiff City~~~Swansea Town,Wales,1.0,1965,0.3175,
25.0,Sigfried Held,Kickers Offenbach~~~Borussia Dortmund,West Germany,1.0,1965,0.3175,
25.0,Köbi Kuhn,Zürich,Switzerland,1.0,1965,0.3175,
1.0,Bobby Charlton,Manchester United,England,81.0,1966,24.5455,
2.0,Eusébio,Benfica,Portugal,80.0,1966,24.2424,
3.0,Franz Beckenbauer,Bayern Munich,West Germany,59.0,1966,17.8788,
4.0,Bobby Moore,West Ham United,England,31.0,1966,9.3939,
5.0,Flórián Albert,Ferencváros,Hungary,23.0,1966,6.9697,
6.0,Ferenc Bene,Újpest,Hungary,8.0,1966,2.4242,
7.0,Lev Yashin,Dynamo Moscow,Soviet Union,6.0,1966,1.8182,
8.0,Alan Ball,Blackpool~~~Everton,England,6.0,1966,1.8182,
9.0,János Farkas,Vasas,Hungary,6.0,1966,1.8182,
10.0,José Torres,Benfica,Portugal,5.0,1966,1.5152,
11.0,Mario Corso,Internazionale,Italy,4.0,1966,1.2121,
11.0,Valery Voronin,Torpedo Moscow,Soviet Union,4.0,1966,1.2121,
13.0,Mário Coluna,Benfica,Portugal,3.0,1966,0.9091,
14.0,Georgi Asparuhov,Levski Sofia,Bulgaria,2.0,1966,0.6061,
14.0,Gordon Banks,Leicester City,England,2.0,1966,0.6061,
14.0,Geoff Hurst,West Ham United,England,2.0,1966,0.6061,
14.0,Sandro Mazzola,Internazionale,Italy,2.0,1966,0.6061,
18.0,Igor Chislenko,Dynamo Moscow,Soviet Union,1.0,1966,0.303,
18.0,Tony Dunne,Manchester United,Republic of Ireland,1.0,1966,0.303,
18.0,Helmut Haller,Bologna,West Germany,1.0,1966,0.303,
18.0,Denis Law,Manchester United,Scotland,1.0,1966,0.303,
18.0,Willi Schulz,Hamburger SV,West Germany,1.0,1966,0.303,
18.0,Paul Van Himst,Anderlecht,Belgium,1.0,1966,0.303,
1.0,Flórián Albert,Ferencváros,Hungary,68.0,1967,18.8366,
2.0,Bobby Charlton,Manchester United,England,40.0,1967,11.0803,
3.0,Jimmy Johnstone,Celtic,Scotland,39.0,1967,10.8033,
4.0,Franz Beckenbauer,Bayern Munich,West Germany,37.0,1967,10.2493,
5.0,Eusébio,Benfica,Portugal,26.0,1967,7.2022,
6.0,Tommy Gemmell,Celtic,Scotland,21.0,1967,5.8172,
7.0,Gerd Müller,Bayern Munich,West Germany,19.0,1967,5.2632,
8.0,George Best,Manchester United,Northern Ireland,18.0,1967,4.9861,
9.0,Igor Chislenko,Dynamo Moscow,Soviet Union,9.0,1967,2.4931,
10.0,János Farkas,Vasas,Hungary,8.0,1967,2.2161,
10.0,Sandro Mazzola,Internazionale,Italy,8.0,1967,2.2161,
10.0,Pirri,Real Madrid,Spain,8.0,1967,2.2161,
13.0,Gigi Riva,Cagliari,Italy,6.0,1967,1.662,
13.0,Eduard Streltsov,Torpedo Moscow,Soviet Union,6.0,1967,1.662,
15.0,Anatoliy Byshovets,Dynamo Kyiv,Soviet Union,5.0,1967,1.385,
16.0,Alan Ball,Everton,England,4.0,1967,1.108,
16.0,Helmut Haller,Bologna,West Germany,4.0,1967,1.108,
16.0,Włodzimierz Lubański,Górnik Zabrze,Poland,4.0,1967,1.108,
16.0,Gianni Rivera,Milan,Italy,4.0,1967,1.108,
20.0,Zvezdan Čebinac,PSV Eindhoven~~~1. FC Nürnberg,Yugoslavia,3.0,1967,0.831,
20.0,Giacinto Facchetti,Internazionale,Italy,3.0,1967,0.831,
20.0,Geoff Hurst,West Ham United,England,3.0,1967,0.831,
20.0,Wolfgang Overath,1. FC Köln,West Germany,3.0,1967,0.831,
20.0,Paul Van Himst,Anderlecht,Belgium,3.0,1967,0.831,
25.0,Nikola Kotkov,Lokomotiv Sofia,Bulgaria,2.0,1967,0.554,
25.0,Valery Voronin,Torpedo Moscow,Soviet Union,2.0,1967,0.554,
27.0,José Augusto,Benfica,Portugal,1.0,1967,0.277,
27.0,Johnny Bjerregaard,Rapid Wien,Denmark,1.0,1967,0.277,
27.0,Néstor Combin,Torino,France,1.0,1967,0.277,
27.0,Johan Cruyff,Ajax,Netherlands,1.0,1967,0.277,
27.0,Pedro de Felipe,Real Madrid,Spain,1.0,1967,0.277,
27.0,Louis Pilot,Standard Liège,Luxembourg,1.0,1967,0.277,
27.0,Ove Kindvall,Feyenoord,Sweden,1.0,1967,0.277,
27.0,Zygfryd Szołtysik,Górnik Zabrze,Poland,1.0,1967,0.277,
1.0,George Best,Manchester United,Northern Ireland,61.0,1968,16.2667,
2.0,Bobby Charlton,Manchester United,England,53.0,1968,14.1333,
3.0,Dragan Džajić,Red Star Belgrade,Yugoslavia,46.0,1968,12.2667,
4.0,Franz Beckenbauer,Bayern Munich,West Germany,36.0,1968,9.6,
5.0,Giacinto Facchetti,Internazionale,Italy,30.0,1968,8.0,
6.0,Gigi Riva,Cagliari,Italy,22.0,1968,5.8667,
7.0,Amancio,Real Madrid,Spain,21.0,1968,5.6,
8.0,Eusébio,Benfica,Portugal,15.0,1968,4.0,
9.0,Gianni Rivera,Milan,Italy,13.0,1968,3.4667,
10.0,Jimmy Greaves,Tottenham Hotspur,England,8.0,1968,2.1333,
10.0,Pirri,Real Madrid,Spain,8.0,1968,2.1333,
12.0,Antal Dunai,Újpest,Hungary,7.0,1968,1.8667,
12.0,Willi Schulz,Hamburger SV,West Germany,7.0,1968,1.8667,
14.0,Georgi Asparuhov,Levski Sofia,Bulgaria,6.0,1968,1.6,
14.0,Albert Shesternyov,CSKA Moscow,Soviet Union,6.0,1968,1.6,
16.0,Ove Kindvall,Feyenoord,Sweden,5.0,1968,1.3333,
17.0,Flórián Albert,Ferencváros,Hungary,4.0,1968,1.0667,
17.0,Sandro Mazzola,Internazionale,Italy,4.0,1968,1.0667,
17.0,Lajos Szűcs,Ferencváros,Hungary,4.0,1968,1.0667,
20.0,Johan Cruyff,Ajax,Netherlands,3.0,1968,0.8,
20.0,Gerd Müller,Bayern Munich,West Germany,3.0,1968,0.8,
22.0,Jack Charlton,Leeds United,England,2.0,1968,0.5333,
22.0,Bobby Moore,West Ham United,England,2.0,1968,0.5333,
24.0,Alan Ball,Everton,England,1.0,1968,0.2667,
24.0,Ferenc Bene,Újpest,Hungary,1.0,1968,0.2667,
24.0,Angelo Domenghini,Internazionale,Italy,1.0,1968,0.2667,
24.0,Mirsad Fazlagić,Sarajevo,Yugoslavia,1.0,1968,0.2667,
24.0,Tommy Gemmell,Celtic,Scotland,1.0,1968,0.2667,
24.0,Jimmy Johnstone,Celtic,Scotland,1.0,1968,0.2667,
24.0,Murtaz Khurtsilava,Dinamo Tbilisi,Soviet Union,1.0,1968,0.2667,
24.0,Ivica Osim,Željezničar,Yugoslavia,1.0,1968,0.2667,
24.0,Louis Pilot,Standard Liège,Luxembourg,1.0,1968,0.2667,
1.0,Gianni Rivera,Milan,Italy,83.0,1969,21.2821,
2.0,Gigi Riva,Cagliari,Italy,79.0,1969,20.2564,
3.0,Gerd Müller,Bayern Munich,West Germany,38.0,1969,9.7436,
4.0,Johan Cruyff,Ajax,Netherlands,30.0,1969,7.6923,
